municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,lat1,long,geo_method,geo,has_expired_protections
Liberty,Florida,United States,County,30.2506943,-84.8955989,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5.5,10,4,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Orange,Florida,United States,County,28.5421109,-81.3790304,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5,10,4,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Sumter,Florida,United States,County,28.6689748,-82.076402,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",14.5,10,4,0,2,,-5,,,3.5,,USA,2,,,,,FALSE
Okaloosa,Florida,United States,County,30.6765961,-86.6037748,TRUE,,,,,"Evictions Active
A statewide moratorium is in place until Aug. 1, but this county does not appear to have implemented policies to enforce these protections. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.firstjudicialcircuit.org/sites/default/files/document_library/OCAD2020-03%20s-block.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-5,10,0,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Highlands,Florida,United States,County,27.3513186,-81.3615717,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5,10,4,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Clay,Florida,United States,County,29.9766524,-81.8470596,TRUE,,,,,"Evictions Suspended
Clay County requires tenants to file a timely written answer, but rent deposits are now due before the date of the status hearing. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.clayclerk.com/wp-content/uploads/2020/05/Covid-19-Admin-Order-April-30-2020-extension-to-June-1.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",8.5,10,4,0,2,,-5,,,-2.5,,USA,2,,,,,FALSE
Putnam,Florida,United States,County,29.6266155,-81.7230549,TRUE,,,,,"Evictions Active
A statewide moratorium is in place until Aug. 1, but this county does not appear to have implemented policies to enforce these protections. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-2.5,10,2,0,2,,-5,,,-11.5,,USA,1,,,,,FALSE
Union,Florida,United States,County,30.044304,-82.3954479,TRUE,,,,,"Evictions Suspended
Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-5,10,0,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Broward,Florida,United States,County,26.1598074,-80.4623642,TRUE,,,,,Evictions Suspended,Eviction Protection,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5,10,4,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Nassau,Florida,United States,County,30.6624329,-81.7707334,TRUE,2020-07-02 07:00:00,,,2020-07-02 07:00:00,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/Nassau-AO-2020-16-Ext-of-Emergency-Procedures.aspx,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",14,10,4,0,2,,-5,,,3,,USA,2,,,,,TRUE
Baker,Florida,United States,County,30.3143459,-82.2847163,TRUE,,,,,"Evictions Suspended
Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-5,10,0,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Lafayette,Florida,United States,County,29.9978185,-83.2221527,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://thirdcircuitfl.org/orders/ao-2020-002/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-1,10,4,0,2,,-5,,,-12,,USA,1,,,,,FALSE
